"","Title","Year","Genre","Plot","Actors","imdbRating"
"53","Toy Story 4",2019,"Animation, Adventure, Comedy, Family, Fantasy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","Tom Hanks, Tim Allen, Annie Potts, Tony Hale","7.9"
"54","Nightcrawler",2014,"Crime, Drama, Thriller","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","Jake Gyllenhaal, Michael Papajohn, Marco Rodríguez, Bill Paxton","7.9"
"55","What's Eating Gilbert Grape",1993,"Drama","A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.","Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen","7.8"
"56","Ed Wood",1994,"Biography, Comedy, Drama","Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette","7.8"
"57","Titanic",1997,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","7.8"
"58","The Insider",1999,"Biography, Drama, Thriller","A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes (1968) exposé on Big Tobacco.","Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora","7.8"
"59","The Curious Case of Benjamin Button",2008,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins","7.8"
"60","American Gangster",2007,"Biography, Crime, Drama, Thriller","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.","Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin","7.8"
"61","The Fighter",2010,"Biography, Drama, Sport","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo","7.8"
"62","Captain Phillips",2013,"Biography, Crime, Drama, Thriller","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.","Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman","7.8"
"63","Moonrise Kingdom",2012,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","Bruce Willis, Edward Norton, Bill Murray, Frances McDormand","7.8"
"64","Captain America: Civil War",2016,"Action, Adventure, Sci-Fi","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","7.8"
"65","Mission: Impossible - Fallout",2018,"Action, Adventure, Thriller","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","7.8"
"66","A Few Good Men",1992,"Drama, Thriller","Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.","Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon","7.7"
"67","Philadelphia",1993,"Drama","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.","Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman","7.7"
"68","Donnie Brasco",1997,"Biography, Crime, Drama","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.","Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby","7.7"
"69","The Fifth Element",1997,"Action, Adventure, Sci-Fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.","Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","7.7"
"70","Finding Neverland",2004,"Biography, Drama, Family","The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.","Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell","7.7"
